t,ia,ib,ic,vsq,vsd,speed,angle,output
3.75,-57.69346142,38.37644793,19.31701349,-42.41231821,134.9118055,-7583.559702,-1940.27141,1
3.76,-43.73141758,121.8459628,-78.11454519,-213.7510876,-74.07623593,-7714.926511,-2016.760918,1
3.77,120.4269393,-219.6039185,99.1769792,-118.3234306,-209.0313644,-7850.782245,-2094.641346,1
3.78,-194.4557175,260.149574,-65.69385653,-76.75678947,-157.0168874,-7987.41525,-2173.910705,1
3.79,226.1569851,-201.5958681,-24.56111691,-41.13984394,-74.5446883,-8124.940368,-2254.566617,1
3.8,-98.15313842,15.73938292,82.4137555,-107.2632716,-92.16610314,-8272.827472,-2336.606097,1
3.81,-50.14143396,64.33905185,-14.19761788,-42.46097092,222.202345,-8412.543077,-2420.026678,1
3.82,90.71736863,-181.3626729,90.64530432,73.38869562,-228.7108325,-8549.393585,-2504.825584,1
3.83,-173.1611167,173.8884856,-0.727368855,48.06550048,168.0345658,-8693.026045,-2591.001149,1
3.84,222.6901554,-173.2411322,-49.44902315,-73.10559716,-43.64595031,-8816.795024,-2678.549556,1
3.85,-134.0556276,94.46601543,39.58961222,118.6744918,-76.91791072,-8956.632392,-2767.468461,1
3.86,15.9802552,40.873482,-56.85373721,213.763992,-74.03898903,-9098.956181,-2857.755594,1
3.87,85.09561998,-170.4911251,85.39550511,114.8285508,-210.9714423,-9235.262479,-2949.407931,1
3.88,-222.2819124,263.0975046,-40.81559217,-147.6918795,-93.45060923,-9359.289607,-3042.423082,1
3.89,152.1391103,-125.2853325,-26.8537778,-34.14424615,77.99722924,-9510.836356,-3136.797984,1
3.9,-116.4256617,100.8745841,15.55107762,139.759879,-21.61425988,-9638.403538,-3232.529582,1
3.91,-61.17945908,77.97491837,-16.79545929,-124.1731293,189.097462,-9776.401647,-3329.615809,1
3.92,162.5336008,-225.3604709,62.82687004,-230.886065,-66.22817011,-9903.808362,-3428.053336,1
3.93,-214.7847805,265.0216745,-50.23689403,-130.7515356,-115.9738918,-10036.74096,-3527.839504,1
3.94,220.5114198,-193.6743799,-26.83703988,-52.95633757,-66.67101038,-10173.19276,-3628.971662,1
3.95,-87.16763031,16.08880066,71.07882964,-116.4311058,-80.27326825,-10314.94661,-3731.446677,1
3.96,-46.88891269,54.79817307,-7.909260387,4.629708431,226.1755556,-10449.92621,-3835.261848,1
3.97,103.8188608,-202.541376,98.7225152,-39.83153517,-236.8712611,-10579.25492,-3940.414152,1
3.98,-154.3195207,181.0523848,-26.73286405,162.3394939,64.74408371,-10722.21903,-4046.901169,1
3.99,152.2473694,-124.7784794,-27.46889008,-47.74164578,70.49916717,-10852.49939,-4154.71966,1
4,-72.29193369,12.86958357,59.42235012,-135.7757158,-39.55951213,-10982.30101,-4263.866607,1
4.01,-67.98373433,101.0665312,-33.08279683,-207.1394424,90.93991185,-11112.15902,-4374.339381,1
4.02,113.2242146,-139.769969,26.54575441,152.8586763,185.2802488,-11250.50162,-4486.135074,1
4.03,-177.0080371,255.9617429,-78.95370584,-57.24490333,-165.1330636,-11371.84619,-4599.250481,1
4.04,126.5898176,-134.8747284,8.284910771,30.36485699,79.54478471,-11514.37314,-4713.683174,1
4.05,-82.33299125,16.32066954,66.01232171,-117.5072659,-78.68953202,-11640.73761,-4829.429924,1
4.06,-12.73500755,104.2470891,-91.51208151,-102.5747542,-201.631436,-11769.315,-4946.487716,1
4.07,156.737853,-226.614162,69.87630892,-221.0089729,-94.07220341,-11895.74105,-5064.853878,1
4.08,-181.7955743,177.9916324,3.803941936,-48.24555458,167.9829578,-12034.75288,-5184.525456,1
4.09,126.8973343,-176.9253112,50.02797687,81.54950049,-24.4760349,-12162.83805,-5305.498959,1
