t,ia,ib,ic,isq,isd,vsd,vsq,ha,hb,hc,speed,angle,torque,output
0.97,66.04794007,-220.5551706,154.5072306,0.037862042,226.3911009,140.3313802,200.7662913,1,0,0,94.24777956,91.1801572,0.008900757,0
0.98,-180.7143224,208.4522468,-27.73792439,0.037862069,226.3911009,140.3313802,200.7662913,0,1,1,94.24777957,92.122635,0.008900763,0
0.99,226.3539759,-116.7276497,-109.6263261,0.037862082,226.3911009,140.3313802,200.7662913,1,1,0,94.24777959,93.0651128,0.008900766,0
1,-185.534104,-19.58294211,205.1170461,0.037862079,226.3911009,140.3313802,200.7662913,1,0,1,94.24777961,94.00759059,0.008900765,0
1.01,71.76865461,149.2894548,-221.0581095,27.47302893,223.8639734,116.6887693,215.3688258,0,1,0,75.23124259,94.92169152,6.545112904,0
1.02,68.02993069,-220.199729,152.1697983,45.02824616,220.9529742,99.78839007,223.7013125,1,0,0,97.83871091,95.84493316,10.89101289,0
1.03,-179.9395866,207.1836319,-27.24404525,19.1039807,224.3481031,123.1516937,211.739605,0,1,1,108.8158147,96.81421244,4.539747085,0
1.04,225.2899548,-115.8355205,-109.4544343,10.17730032,225.0901131,131.518344,206.6468611,1,1,0,88.6040836,97.76668762,2.40904371,0
1.05,-183.7070127,-21.48394043,205.1909531,32.7138507,223.1708753,111.6851336,218.0055755,0,0,1,83.47003091,98.68583008,7.821971588,0
1.06,71.9416195,149.0142801,-220.9558996,35.90678379,222.5135444,108.2217907,219.7454073,0,1,0,100.6940598,99.62435213,8.614866754,0
1.07,66.13410843,-219.5278572,153.3937488,17.27697613,224.5708525,124.9677046,210.6729048,1,0,0,101.7930835,100.5862732,4.100786622,0
1.08,-180.449159,207.1782067,-26.72904766,17.7446158,224.6876991,124.9600276,210.6774584,0,1,1,87.91265387,101.5287419,4.209195905,0
1.09,225.4763595,-114.7088218,-110.7675377,32.63683824,223.1134317,111.583882,218.0574174,1,1,0,89.05197225,102.4556252,7.80589742,0
1.1,-183.926133,-20.80570024,204.7318333,30.1915659,223.3226771,113.4765369,217.078501,0,0,1,100.0797232,103.4002777,7.213166612,0
1.11,72.87329675,148.1832288,-221.0565255,18.57136986,224.5253222,123.9495651,211.2735319,0,1,0,97.64334744,104.3549779,4.409073451,0
1.12,66.83784488,-219.8514115,153.0135667,22.03044129,224.3317212,121.1381338,212.8979862,1,0,0,89.13258134,105.2941417,5.235622756,0
1.13,-180.9185932,206.9433784,-26.02478529,30.92759324,223.3078811,113.0510616,217.3003854,0,1,1,92.08642262,106.2272214,7.389584422,0
1.14,225.328356,-115.1860206,-110.1423354,27.17721031,223.7023622,116.2507726,215.6055608,1,1,0,98.59701291,107.1733947,6.480119134,0
1.15,-184.1854974,-20.32107906,204.5065765,20.44926971,224.3998285,122.3532878,212.2019627,0,0,1,95.55183487,108.1230043,4.858112841,0
1.16,72.38296867,148.677561,-221.0605297,24.0216602,224.1227474,119.3198701,213.9223425,0,1,0,90.65578974,109.0619229,5.715108753,0
1.17,67.15073995,-219.9274944,152.7767544,29.13765908,223.5241323,114.6356852,216.4686113,1,0,0,93.41019206,109.9989591,6.954048577,0
1.18,-180.5693633,207.0503747,-26.48101145,26.01198137,223.8473614,117.3428264,215.0131649,0,1,1,97.17797054,110.9445739,6.197575481,0
1.19,225.3268667,-115.3690627,-109.9578041,22.06673226,224.2655051,120.9387847,213.0112916,1,1,0,94.8145314,111.8912523,5.246070995,0
1.2,-184.0235536,-20.69929856,204.7228522,24.63458181,224.0450573,118.733186,214.2485252,0,0,1,91.89833536,112.831149,5.863320384,0
1.21,72.24258131,148.7821163,-221.0246976,27.76488904,223.6823522,115.865763,215.8127081,0,1,0,93.7952371,113.7702931,6.620938284,0
1.22,66.84605418,-219.8112572,152.965203,25.69782578,223.894573,117.6555029,214.8422273,1,0,0,96.12223283,114.7148488,6.121211127,0
1.23,-180.5127496,207.0964608,-26.58371113,23.23649079,224.1585581,119.9011218,213.5970997,0,1,1,94.67011191,115.6599473,5.527266839,0
1.24,225.3707644,-115.1939402,-110.1768243,24.70415061,224.0314194,118.6451592,214.2972846,1,1,0,92.78693979,116.6009575,5.880299042,0
1.25,-183.9781158,-20.77918297,204.7572988,26.77768542,223.800069,116.753952,215.3334965,0,0,1,93.76997975,117.5412343,6.381591418,0
